               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051679,            0.031317,            0.049415,             0.69668,             0.64666,             0.68064,             0.28615,            0.046159,            0.025736,             0.02739,            0.070016,           0.0033316,           0.0033316
                   1,            0.043326,            0.025662,            0.022379,              0.8561,              0.7928,             0.84149,             0.37305,            0.043303,            0.024556,            0.015351,            0.039796,           0.0064449,           0.0064449
                   2,            0.041464,             0.02545,            0.019312,             0.86793,             0.80137,             0.84981,             0.37091,            0.043351,            0.025182,            0.013543,           0.0093561,           0.0093383,           0.0093383
                   3,            0.039821,            0.025467,            0.017553,             0.87707,             0.82287,              0.8639,             0.39034,            0.042231,            0.024356,             0.01214,             0.00901,             0.00901,             0.00901
                   4,            0.038893,            0.024945,            0.015899,             0.89312,             0.84435,             0.88089,             0.39772,            0.041434,            0.024331,            0.010753,             0.00901,             0.00901,             0.00901
                   5,            0.038179,            0.024669,            0.014488,             0.88957,              0.8595,             0.88564,             0.40557,            0.041487,            0.023933,           0.0095622,             0.00868,             0.00868,             0.00868
                   6,            0.037633,            0.024654,            0.013624,             0.90136,             0.87354,             0.89497,             0.41173,            0.041421,            0.023768,           0.0085018,             0.00835,             0.00835,             0.00835
                   7,            0.037252,            0.024474,            0.013078,             0.90347,             0.87823,             0.90018,               0.413,            0.040852,            0.023616,           0.0080867,             0.00802,             0.00802,             0.00802
                   8,            0.037036,            0.024367,            0.012509,             0.90151,             0.87477,             0.89698,             0.41667,            0.040864,            0.023707,           0.0082397,             0.00769,             0.00769,             0.00769
                   9,            0.036838,            0.024326,            0.012276,             0.90849,             0.88061,              0.9037,             0.41894,             0.04054,             0.02352,            0.007816,             0.00736,             0.00736,             0.00736
                  10,            0.036785,            0.024331,            0.011617,             0.90759,             0.88077,             0.90244,             0.42098,            0.040766,             0.02357,           0.0076755,             0.00703,             0.00703,             0.00703
                  11,            0.036524,            0.024173,            0.011583,             0.90811,             0.89104,             0.90694,              0.4234,            0.040209,            0.023376,           0.0070978,              0.0067,              0.0067,              0.0067
                  12,            0.036421,             0.02415,            0.011173,             0.91296,             0.89758,             0.91302,             0.42517,            0.040364,            0.023327,           0.0068869,             0.00637,             0.00637,             0.00637
                  13,            0.036118,            0.023924,             0.01108,             0.91583,             0.89555,             0.91145,             0.42636,             0.04029,            0.023353,           0.0066697,             0.00604,             0.00604,             0.00604
                  14,            0.035944,            0.024068,            0.010604,             0.91423,             0.89807,             0.91347,             0.43011,            0.040064,            0.023269,           0.0064682,             0.00571,             0.00571,             0.00571
                  15,            0.036003,            0.023967,              0.0105,             0.91373,             0.89923,             0.91315,             0.42985,            0.040248,            0.023248,           0.0064217,             0.00538,             0.00538,             0.00538
                  16,            0.035776,            0.023818,             0.01008,             0.91326,             0.89951,             0.91388,             0.43006,            0.040199,            0.023256,            0.006511,             0.00505,             0.00505,             0.00505
                  17,            0.035579,            0.023771,            0.010169,             0.91575,              0.8982,             0.91393,             0.43121,            0.040121,            0.023206,            0.006313,             0.00472,             0.00472,             0.00472
                  18,             0.03561,             0.02385,           0.0097144,             0.91522,             0.90302,             0.91536,              0.4321,            0.040125,            0.023203,           0.0061834,             0.00439,             0.00439,             0.00439
                  19,            0.035355,            0.023779,             0.00966,             0.91615,             0.90115,             0.91441,             0.43135,            0.040262,            0.023182,           0.0061675,             0.00406,             0.00406,             0.00406
                  20,            0.035191,            0.023769,           0.0091369,              0.9171,             0.90306,             0.91702,             0.43113,            0.040257,            0.023152,           0.0061088,             0.00373,             0.00373,             0.00373
                  21,            0.035098,             0.02364,           0.0089663,             0.91765,             0.90413,              0.9184,              0.4329,             0.04015,            0.023169,           0.0059986,              0.0034,              0.0034,              0.0034
                  22,            0.034865,            0.023496,           0.0088005,             0.91726,             0.90587,             0.91788,             0.43306,            0.040134,            0.023186,            0.005879,             0.00307,             0.00307,             0.00307
                  23,            0.034717,            0.023441,            0.008677,             0.91575,             0.90632,             0.91742,              0.4324,            0.040216,            0.023189,           0.0059476,             0.00274,             0.00274,             0.00274
                  24,            0.034547,            0.023338,           0.0085525,             0.91437,             0.90546,             0.91472,             0.43119,            0.040284,            0.023212,           0.0058802,             0.00241,             0.00241,             0.00241
                  25,            0.034455,            0.023338,           0.0084161,             0.91375,             0.90364,             0.91147,             0.43019,            0.040411,            0.023248,           0.0059624,             0.00208,             0.00208,             0.00208
                  26,            0.034261,            0.023274,           0.0081798,             0.91407,             0.90374,             0.91107,             0.42904,            0.040478,             0.02325,           0.0060038,             0.00175,             0.00175,             0.00175
                  27,            0.034067,            0.023224,           0.0078718,             0.91239,             0.90417,             0.91077,              0.4283,            0.040517,            0.023261,           0.0060048,             0.00142,             0.00142,             0.00142
                  28,            0.033823,            0.023051,           0.0077388,             0.91306,              0.9026,             0.91031,             0.42716,            0.040588,            0.023274,            0.006041,             0.00109,             0.00109,             0.00109
                  29,            0.033544,            0.023109,            0.007402,             0.91391,              0.9015,              0.9085,             0.42613,            0.040674,            0.023289,           0.0060575,             0.00076,             0.00076,             0.00076
